Latitude,Longitude,pH,EC,Avail-P,Exch-K,Avail-Ca,Avail-Mg,Avail-Zn,Avail-Fe,Avail-Cu,Avail-Mn,Crop_Label
14.85,78.96,8.73,0.57,19.9,291,3398,812,0.94,26.58,2.6,12.64,Cotton
14.84,78.97,8.95,0.47,8.12,312,3321,960,0.39,12.87,1.38,11.42,Cotton
14.85,78.96,8.2,0.54,35.36,302,3592,548,1.18,34.21,3.34,8.44,Sunflower
14.85,78.97,8.71,0.56,11.28,159,3121,532,0.99,17.34,1.98,12.2,Cotton
14.83,78.97,8.75,0.47,16.71,174,3297,591,0.78,22.0,2.19,10.2,Cotton
14.83,78.97,8.53,0.69,36.64,253,3381,710,1.29,45.9,3.45,11.66,Cotton
14.83,78.94,8.07,0.22,31.32,252,2817,535,0.54,34.0,3.07,14.26,Cotton
14.84,78.95,8.28,0.72,21.47,324,3001,556,1.07,34.96,3.19,12.45,Cotton
14.82,78.97,8.33,0.36,22.52,242,3434,572,0.67,27.47,2.53,11.87,Sunflower
14.84,78.96,8.18,0.27,6.84,277,3289,960,0.45,9.36,1.38,15.71,Cotton
14.84,78.97,8.34,0.23,2.37,320,4813,1282,0.34,9.06,1.29,10.28,Cotton
14.84,78.97,8.93,0.58,6.4,176,2656,607,0.47,11.09,1.55,14.7,Cotton
14.84,78.97,8.65,0.91,33.02,145,2496,349,1.08,70.83,1.96,13.7,Cotton
14.84,78.97,8.8,0.63,15.65,910,3208,1129,0.51,4.61,1.16,10.18,Cotton
14.83,78.97,8.55,1.17,17.42,274,3213,1109,0.71,39.99,3.09,27.41,Cotton
14.83,78.97,8.95,0.45,5.16,203,3100,736,0.68,12.96,1.91,15.03,Sunflower
14.83,78.97,6.76,0.09,2.94,80,741,186,0.29,12.21,0.76,9.53,Cotton
14.83,78.95,6.1,0.03,4.1,36,443,169,0.32,15.18,1.21,12.13,Cotton
14.83,78.97,6.5,0.14,21.34,63,571,252,0.43,13.71,0.65,9.36,Cotton
14.84,78.97,5.11,0.05,2.99,27,372,109,0.17,9.55,0.41,13.52,Sunflower
14.84,78.97,7.9,0.17,9.84,118,2037,348,0.32,5.8,0.88,5.48,Sunflower
14.84,78.97,7.17,0.05,5.37,30,393,120,0.29,8.08,0.43,5.75,Cotton
14.83,78.98,8.2,0.22,39.82,147,2317,499,4.29,6.12,1.15,1.92,Cotton
14.83,78.94,8.03,0.12,11.93,51,830,211,0.25,9.32,0.74,6.89,Cotton
14.83,78.94,8.4,0.1,14.72,94,1177,173,0.29,3.38,0.45,3.13,Cotton
14.83,78.94,8.21,0.2,29.21,238,2283,503,0.87,9.18,1.37,11.68,Cotton
14.83,78.94,6.9,0.11,8.87,86,518,181,0.56,12.28,1.01,10.86,Cotton
14.83,78.97,8.3,0.28,42.05,251,2186,553,0.59,4.86,0.62,3.25,Cotton
14.85,78.97,9.05,25.2,9.03,99,1874,120,0.33,4.52,0.84,6.4,Sunflower
14.84,78.96,8.54,1.08,17.76,134,2700,366,0.59,14.68,1.6,17.54,Cotton
14.85,78.97,9.78,1.05,28.81,112,2260,462,0.85,48.24,2.3,21.24,Cotton
14.73,78.98,8.6,0.37,22.94,231,3056,1259,0.51,20.71,1.81,9.9,Maize
14.75,79.01,8.32,0.21,8.04,346,3304,628,0.51,5.08,1.39,15.65,Paddy
14.75,79.01,8.16,1.62,22.81,236,2874,1293,0.68,27.89,2.2,9.37,Paddy
14.75,79.01,8.32,0.4,43.02,400,3416,809,0.55,16.34,1.59,17.36,Cotton
14.75,79.01,8.55,0.32,17.44,232,3116,943,0.4,26.9,1.74,11.61,Paddy
14.75,79.01,8.31,2.66,7.35,96,2457,500,0.28,8.8,0.95,12.0,Sunflower
14.75,79.01,8.5,0.22,12.08,133,2458,566,0.66,13.11,1.69,41.46,Chilly
14.75,79.01,8.0,0.21,12.44,344,1557,301,1.05,5.73,1.11,42.04,Cotton
14.75,79.01,8.51,0.62,13.8,151,2384,502,0.86,13.65,1.4,32.69,Mirchi
14.74,78.01,8.02,0.5,9.92,345,3547,336,0.86,2.8,1.61,31.45,Sunflower
14.74,78.01,8.41,0.37,32.59,134,2797,587,0.54,19.2,1.62,14.44,Chilly
14.74,78.01,8.32,0.28,47.58,226,2717,525,0.7,11.54,1.55,17.86,Cotton
14.74,78.01,8.25,0.93,14.25,172,2870,832,0.43,11.03,1.47,18.82,Paddy
14.73,79.01,8.3,0.22,14.04,146,2874,495,0.58,14.74,1.69,24.26,Cotton
14.75,79.01,8.68,0.46,21.85,161,2703,527,0.58,21.54,1.72,14.83,Cotton
14.75,79.01,8.69,0.19,19.29,451,2802,763,0.46,12.24,1.59,19.42,Cotton
14.75,79.01,8.78,0.23,13.67,229,2523,875,0.52,24.56,2.09,14.84,Paddy
14.75,79.01,9.2,0.58,28.51,187,2282,710,0.47,35.51,2.04,20.71,Cotton
14.74,78.98,8.87,0.76,39.49,200,2402,726,0.49,24.29,1.82,15.78,Cotton
14.75,79.01,9.44,0.7,27.52,224,2296,578,0.51,18.88,1.77,20.91,Paddy
14.75,79.01,8.3,0.23,31.99,164,3025,850,0.63,20.86,1.79,15.99,Chilly
14.75,79.01,8.38,0.31,22.53,144,3048,836,0.77,25.16,1.98,14.98,Cotton
14.75,79.01,8.57,0.16,6.58,204,4449,564,0.32,8.94,1.58,13.95,Cotton
14.75,79.01,8.61,0.24,34.62,333,2632,1091,0.61,14.57,1.5,7.28,Cotton
14.75,79.01,8.11,1.21,23.17,268,3060,1153,0.81,9.95,1.56,14.87,Cotton
14.84,78.98,8.7,0.56,18.4,138,1533,371,0.44,29.19,2.78,21.17,Paddy
14.84,78.98,8.35,0.84,19.57,162,1892,800,0.78,25.87,2.38,15.99,Paddy
14.84,78.98,8.15,0.18,16.88,239,1805,114,0.55,3.11,0.86,9.77,Paddy
14.84,78.98,8.71,0.73,12.31,154,2360,575,0.7,30.59,2.39,26.5,Cotton
14.84,78.98,8.45,0.81,19.15,175,2428,650,1.06,34.59,3.23,16.91,Cotton
14.84,78.97,8.46,3.51,55.18,215,1978,484,1.19,33.0,2.44,24.02,Paddy
14.84,78.97,9.02,1.36,54.2,1317,1672,146,2.12,3.34,1.92,27.71,Cotton
14.84,78.97,8.5,0.52,13.28,247,2195,393,0.81,7.94,1.83,25.72,Cotton
14.84,78.97,8.52,0.79,18.84,207,3413,950,1.07,29.38,3.74,17.18,Cotton
14.84,78.97,8.65,0.62,8.66,166,1853,783,0.52,25.82,3.17,26.07,Cotton
14.84,78.97,8.63,0.45,14.17,149,2085,194,0.7,4.31,1.35,16.82,Cotton
14.84,78.97,8.42,0.61,13.82,199,2154,824,1.61,27.72,4.52,14.51,Cotton
14.84,78.97,8.35,2.94,55.92,192,1441,394,1.61,53.36,3.47,19.92,Cotton
14.84,78.97,8.45,0.92,41.5,196,1843,716,3.12,60.14,3.11,15.73,Cotton
14.83,78.97,7.8,0.36,12.15,183,1571,302,0.6,8.16,1.94,33.89,Cotton
14.83,78.97,8.65,0.92,17.14,146,2143,1014,0.59,21.87,2.12,16.43,Cotton
14.83,78.97,8.68,0.41,4.65,188,2145,621,0.32,10.06,1.49,14.58,Cotton
14.83,78.97,8.46,0.4,9.63,222,2369,656,1.43,23.62,2.28,24.21,Cotton
14.83,78.97,8.1,0.75,6.26,246,2476,446,0.63,4.89,1.65,19.14,Paddy
14.84,78.97,8.06,0.7,6.42,260,1836,521,0.89,11.05,2.6,21.49,Cotton
14.82,78.97,8.25,0.61,9.69,187,2361,597,0.8,4.39,1.53,17.8,Cotton
14.83,78.97,8.3,0.43,9.59,235,2050,602,0.63,23.36,2.46,28.36,Cotton
14.83,78.97,8.5,0.98,10.66,177,2039,831,0.45,14.73,1.89,16.44,Cotton
14.83,78.97,8.55,0.35,17.15,141,2238,148,0.59,1.98,1.13,11.68,Cotton
14.83,78.97,7.81,0.37,9.17,155,1407,382,0.5,7.54,1.55,28.26,Paddy
14.83,78.97,8.55,0.26,1.66,134,1780,407,0.22,6.77,0.96,13.48,Paddy
14.83,78.97,8.85,0.77,14.73,307,1882,368,0.53,17.32,2.0,21.57,Cotton
14.84,78.98,8.3,0.45,5.29,128,1868,638,0.4,13.79,1.99,17.69,Cotton
14.84,78.97,8.55,0.48,13.46,153,2186,617,0.87,6.47,1.48,30.54,Cotton
14.84,78.98,8.1,3.18,36.6,267,2134,1010,0.83,47.91,4.11,26.76,Paddy
14.82,78.99,8.88,0.82,12.13,240,3757,984,0.77,26.9,2.52,21.61,Cotton
14.82,78.99,9.68,1.12,8.32,177,2517,308,0.61,8.51,1.38,21.28,Cotton
14.82,78.99,9.71,1.22,7.41,178,2164,212,0.56,13.27,1.57,23.06,Paddy
14.82,78.99,9.67,1.0,4.68,157,2240,284,0.54,10.01,1.49,22.86,Paddy
14.82,78.99,8.45,1.44,11.42,210,2934,1114,0.63,15.98,2.25,12.02,Cotton
14.81,78.99,8.91,0.41,8.52,341,3112,928,0.68,12.64,1.54,13.84,Paddy
14.81,78.98,8.55,0.65,34.06,246,3293,711,1.34,46.31,3.53,13.08,Cotton
14.81,78.98,8.5,0.79,30.9,236,3465,722,1.17,35.89,3.21,13.49,Paddy
14.82,78.99,8.97,0.39,11.52,326,3147,932,0.6,5.65,1.27,5.83,Paddy
14.82,78.98,8.45,0.78,38.2,235,3258,652,2.47,42.62,4.52,12.53,Cotton
14.82,78.98,8.52,0.68,39.3,250,3325,711,1.43,47.75,3.63,12.11,Cotton
14.82,78.98,8.92,0.46,10.56,322,3081,895,0.45,11.95,1.48,13.01,Paddy
14.82,78.98,8.51,0.7,36.93,237,3251,648,1.2,44.32,3.42,13.62,Cotton
14.82,78.98,8.56,0.8,7.75,152,3164,563,0.5,15.02,1.79,19.57,Paddy
14.82,78.98,8.44,2.15,15.42,198,2561,782,0.48,12.72,1.75,13.42,Cotton
14.82,78.98,8.45,1.41,5.45,185,2741,652,0.44,12.42,1.51,21.13,Paddy
14.82,78.98,8.58,0.97,4.86,179,2651,621,0.56,11.86,1.46,20.22,Cotton
14.82,78.98,8.9,0.72,3.1,175,3044,809,0.4,9.63,1.68,10.96,Paddy
14.72,79.0,9.05,0.51,26.77,196,2408,484,0.53,20.54,1.74,19.72,Cotton
14.72,79.01,9.04,1.02,1.66,128,1845,155,0.28,2.79,0.52,4.13,Sunflower
14.72,79.0,9.32,0.56,1.25,122,2026,168,0.48,3.16,0.74,7.39,Cotton
14.73,79.01,8.8,0.31,7.18,162,2522,328,0.33,10.25,1.42,14.08,Paddy
14.73,79.01,8.02,27.5,1.0,97,4400,453,0.2,0.98,0.61,2.52,Paddy
14.73,79.01,8.93,0.29,0.91,125,2863,258,0.51,4.43,1.32,13.85,Paddy
14.72,79.0,9.28,0.19,0.72,122,2938,802,0.25,3.2,0.71,6.22,Paddy
14.73,79.01,7.07,0.05,0.67,141,4367,556,0.28,7.07,1.04,24.48,Cotton
14.73,79.01,8.55,0.17,0.9,128,2366,299,0.28,10.37,1.35,10.18,Sunflower
14.73,79.01,8.65,0.28,17.35,478,3176,314,1.25,18.12,2.11,11.33,Sunflower
14.73,79.01,8.88,0.53,24.92,178,2621,571,0.6,21.79,1.73,16.56,Sunflower
14.73,79.01,7.43,0.08,1.42,125,2006,272,0.29,4.72,1.2,19.66,Cotton
14.74,79.01,9.08,1.45,1.58,189,2888,418,0.35,4.59,1.08,11.93,Cotton
14.73,79.01,8.98,0.19,0.67,90,2027,149,0.2,1.21,0.52,5.94,Cotton
14.73,79.01,8.77,0.54,7.24,173,2430,265,0.49,5.74,1.36,12.64,Sunflower
14.72,79.01,8.15,0.23,4.36,170,2782,136,0.5,0.73,0.56,8.82,Cotton
14.73,79.01,9.22,1.01,0.9,119,1823,161,0.49,4.07,0.88,7.41,Cotton
14.74,79.01,8.88,0.16,0.79,98,2237,161,0.23,1.48,0.56,5.33,Cotton
14.72,79.0,8.35,0.51,5.14,124,2334,221,0.52,5.63,1.6,12.05,Sunflower
14.72,79.0,8.7,0.29,1.86,130,1757,181,0.28,3.52,0.75,5.44,Cotton
14.92,79.06,8.0,0.97,5.17,75,2034,541,0.69,33.74,1.73,9.45,Paddy
14.93,79.06,7.92,1.12,7.21,154,2020,387,6.05,4.29,1.1,13.39,Bajra
14.9,79.04,7.85,2.48,5.75,109,2182,571,0.47,17.32,1.95,17.68,Cotton
14.9,79.04,8.46,0.77,20.08,100,2054,462,0.67,36.01,1.84,12.7,Cotton
14.91,79.04,7.96,0.92,27.13,112,1880,424,0.86,27.24,2.17,16.18,Paddy
14.91,79.05,8.65,0.9,35.09,248,1770,507,0.84,34.11,2.42,16.74,Cotton
14.92,79.05,7.54,5.3,20.55,127,2483,694,0.87,17.8,2.33,17.76,Bajra
14.93,79.06,8.1,0.35,7.7,75,947,279,0.28,8.47,0.92,13.14,Bajra
14.92,79.06,8.11,0.65,6.22,118,1872,508,0.53,5.3,1.16,17.45,Paddy
14.9,79.04,8.02,0.66,12.68,115,1566,304,1.42,15.71,1.85,5.16,Bajra
14.92,79.04,8.0,1.04,17.02,144,1849,428,0.66,23.89,2.06,11.82,Cotton
14.9,79.05,7.83,1.78,20.72,154,1858,448,0.79,29.81,2.95,19.46,Sunflower
14.93,79.05,8.05,0.63,7.16,120,1920,346,0.43,14.69,1.84,9.89,Bajra
14.92,79.05,7.79,0.69,31.72,218,1928,429,1.53,24.58,2.88,38.84,Bajra
14.91,79.04,8.13,0.26,19.96,120,2501,292,0.67,27.03,2.54,12.85,Jowar
14.93,79.06,7.82,2.95,4.81,103,1836,680,1.52,5.77,1.09,6.95,Jowar
14.93,79.06,7.92,1.02,11.31,80,2408,334,0.29,11.78,1.32,8.99,Paddy
14.91,79.04,8.15,1.06,3.85,84,2258,486,0.34,3.37,1.42,12.99,Maize
14.93,79.05,8.43,0.41,19.39,115,2153,402,0.49,21.64,2.11,9.64,Jowar
14.92,79.06,8.06,0.82,6.21,84,2225,301,0.53,25.62,1.68,9.04,Bajra
14.97,79.03,8.14,0.45,21.14,143,1605,428,1.01,6.27,1.41,20.3,Paddy
14.96,79.03,8.25,0.55,10.47,311,1958,414,1.21,5.37,1.67,16.8,Jowar
14.96,79.02,8.4,0.75,3.19,92,2415,464,1.0,12.28,1.41,8.62,Paddy
14.96,79.03,7.98,0.95,20.46,221,2231,517,3.28,6.7,2.69,21.91,Maize
14.98,79.03,8.31,0.39,7.93,137,1826,591,0.48,9.64,1.87,18.17,Paddy
14.96,79.03,8.33,0.34,6.91,121,1602,435,0.41,7.76,1.41,14.48,Paddy
14.96,79.03,8.04,0.73,24.22,241,2547,584,2.4,7.43,1.64,22.28,Paddy
14.97,79.04,7.8,0.09,5.66,91,1140,311,3.26,4.76,0.93,15.8,Paddy
14.97,79.04,8.5,0.26,3.11,87,1750,314,1.88,6.63,0.96,9.94,Turmaric
14.97,79.04,8.16,0.16,5.12,51,756,229,0.24,7.1,0.95,19.0,Maize
14.97,79.04,8.6,0.25,10.95,68,1552,390,3.32,9.38,1.17,13.45,Paddy
14.97,79.04,8.5,0.27,7.48,69,1445,361,0.36,7.08,1.07,19.92,Maize
14.96,79.03,8.23,0.36,6.08,105,1356,258,0.37,5.49,0.93,10.22,Maize
14.96,79.03,8.11,1.56,19.93,616,1884,556,1.25,7.99,2.16,54.47,Paddy
14.97,79.03,7.97,1.35,10.06,158,1743,337,0.28,8.11,1.31,11.06,Sunflower
14.96,79.04,7.94,1.54,29.43,181,2006,644,1.34,7.55,2.27,28.43,Paddy
14.96,79.02,8.0,1.54,27.74,161,1948,614,1.2,7.42,2.04,25.59,Sunflower
14.96,79.03,8.2,1.78,21.78,198,1892,582,1.13,37.56,2.71,21.15,Paddy
14.96,79.04,8.14,1.68,18.94,635,1868,561,1.29,8.29,2.29,54.67,Sunflower
14.96,79.03,8.14,1.46,20.45,509,1763,510,1.26,8.09,2.22,52.82,Paddy
14.96,79.04,8.23,1.89,18.57,286,2363,754,1.17,33.77,2.8,21.38,Jowar
14.96,79.03,8.26,1.54,20.48,304,2309,710,1.09,38.94,2.7,21.83,Bajra
14.96,79.03,8.31,1.09,19.0,232,2262,646,1.0,38.44,2.61,17.89,Paddy
14.96,79.03,8.27,1.41,23.11,255,2284,678,1.24,35.6,2.67,21.28,Sunflower
14.96,79.03,8.12,1.38,22.34,234,2367,681,1.19,21.41,2.34,25.28,Paddy
14.98,79.03,7.98,1.55,30.82,173,2531,738,1.34,7.84,2.07,29.47,Paddy
14.97,79.03,8.48,0.6,2.64,109,2788,792,0.49,12.18,2.23,12.95,Paddy
14.97,79.03,8.13,1.01,4.47,106,2743,557,1.47,6.22,1.39,29.33,Jowar
14.96,79.03,8.04,0.63,35.9,201,2577,563,2.78,6.84,1.78,17.21,Jowar
14.97,79.03,8.42,0.38,12.15,163,2451,579,1.03,4.63,1.39,15.7,Paddy
14.96,79.03,8.55,0.34,9.04,150,2457,570,1.05,4.11,1.3,10.29,Jowar
14.96,79.03,8.66,0.47,1.76,79,2140,524,0.23,7.54,1.23,10.64,Paddy
14.97,79.03,7.9,0.29,1.85,79,1186,443,0.37,9.38,1.55,19.35,Paddy
14.96,79.03,8.3,0.42,12.73,135,2929,673,1.11,41.76,2.58,9.3,Paddy
14.97,79.02,6.35,1.75,15.89,103,1261,399,0.64,9.3,1.06,68.09,Maize
14.97,79.03,8.5,1.0,19.01,718,2331,774,1.16,7.88,1.91,37.82,Bajra
14.97,79.03,8.41,0.48,9.2,136,2851,763,1.53,8.02,1.74,18.1,Bajra
14.96,79.03,7.9,2.15,40.5,305,2744,629,1.83,35.84,2.69,17.0,Maize
14.96,79.03,8.16,1.41,22.59,159,2553,641,1.67,21.61,1.98,15.21,Maize
14.96,79.03,8.14,1.25,11.71,167,2720,765,0.43,12.14,1.74,11.53,Turmaric
14.85,79.06,8.6,0.23,7.6,85,1742,288,0.38,5.38,0.98,7.28,Paddy
14.83,79.06,8.31,0.24,5.0,70,937,217,0.24,2.74,0.62,7.69,Paddy
14.84,79.05,8.35,0.36,4.6,177,1558,105,0.43,3.71,0.52,9.93,Paddy
14.84,79.05,8.55,0.58,24.47,161,1563,118,0.6,35.0,1.17,5.09,Paddy
14.84,79.05,8.25,1.33,23.14,113,1712,423,0.75,37.41,2.12,10.32,Paddy
14.83,79.06,8.14,0.31,10.43,228,2691,342,0.82,4.35,1.74,22.74,Cotton
14.85,79.06,8.4,0.22,14.53,103,1656,229,0.69,6.49,0.76,5.9,Cotton
14.85,79.06,8.35,1.62,32.1,87,1530,500,1.04,32.87,2.18,4.78,Cotton
14.84,79.05,8.1,0.25,5.95,120,797,138,0.55,3.6,0.74,13.28,Paddy
14.84,79.08,8.3,0.22,14.06,103,1466,193,0.4,6.24,0.72,5.45,Cotton
14.86,79.06,8.1,1.22,12.23,70,1497,310,0.36,23.05,0.98,5.46,Paddy
14.84,79.06,8.7,1.56,11.0,131,1738,306,0.63,22.63,1.85,11.74,Cotton
14.84,79.05,7.85,0.47,25.68,54,869,267,1.07,35.78,1.09,2.27,Paddy
14.84,79.06,9.55,2.55,22.13,126,1039,197,0.86,44.12,2.32,12.48,Cotton
14.84,79.08,8.5,1.14,25.59,93,1704,356,0.59,17.61,1.35,8.15,Paddy
14.84,79.05,8.45,0.51,32.36,79,1287,284,0.99,20.41,1.28,7.34,Cotton
14.86,79.06,8.2,1.63,17.81,94,1703,353,0.4,9.54,0.93,9.65,Paddy
14.84,79.06,8.15,0.22,4.55,141,1289,250,0.34,3.43,1.15,20.03,Cotton
14.83,79.06,8.15,0.32,13.08,177,998,136,0.7,4.99,1.37,23.29,Paddy
14.84,79.05,8.4,0.68,36.75,76,1236,270,1.24,26.95,1.5,4.44,Cotton
14.84,79.07,8.01,0.58,17.33,124,1679,352,0.47,3.44,0.81,17.29,Paddy
14.84,79.06,8.37,0.8,16.44,128,2110,497,1.19,21.38,1.89,21.16,Cotton
14.84,79.06,8.21,0.11,22.37,76,2154,276,0.54,4.57,1.44,6.41,Paddy
14.84,79.06,8.34,0.28,19.86,101,1723,391,0.55,11.0,1.19,15.17,Paddy
14.84,79.05,8.5,0.22,7.07,126,2932,376,0.41,9.75,2.0,12.8,Paddy
14.85,79.07,8.25,0.29,4.09,169,2873,366,0.36,4.4,1.13,19.34,Paddy
14.85,79.07,7.5,0.17,3.38,167,1011,132,0.28,3.53,0.89,13.95,Paddy
14.85,79.06,8.76,0.79,12.13,90,2236,415,0.68,5.86,1.44,11.72,Paddy
14.85,79.06,8.52,0.81,19.65,94,1746,466,1.01,41.6,2.03,7.66,Paddy
14.85,79.06,8.06,1.76,20.05,123,1710,481,0.65,22.57,1.63,16.51,Paddy
14.86,79.06,8.46,0.51,21.81,97,1988,476,0.87,28.9,1.8,8.38,Paddy
14.85,79.08,8.4,0.15,1.97,89,2696,256,0.31,4.05,1.7,11.83,Paddy
14.86,79.06,8.75,0.27,7.16,171,1934,313,0.44,5.58,0.8,8.35,Paddy
14.85,79.07,7.81,0.08,1.06,64,762,154,0.25,4.34,0.88,11.82,Cotton
14.85,79.07,6.05,0.13,1.6,71,776,173,0.27,14.41,1.1,22.62,Paddy
14.85,79.07,8.3,0.15,1.31,76,2647,176,0.29,3.78,1.61,10.61,Paddy
14.85,79.07,8.07,0.12,1.28,114,2446,233,0.31,3.98,1.18,12.8,Paddy
14.85,79.06,8.05,1.11,13.28,123,1996,460,2.58,25.29,1.9,8.14,Cotton
14.85,79.07,6.37,0.09,1.68,70,772,171,0.48,15.16,1.78,25.35,Cotton
14.85,79.06,7.31,0.1,1.53,90,696,159,0.42,5.87,1.11,12.89,Cotton
14.85,79.07,7.7,0.36,32.09,138,990,213,0.96,11.39,1.39,11.28,Paddy
14.85,79.07,7.32,0.1,1.78,55,1260,131,0.37,5.68,1.07,12.09,Cotton
14.85,79.07,6.58,0.05,1.36,93,442,113,0.24,8.94,0.77,26.46,Paddy
14.85,79.06,8.46,0.42,13.75,119,2211,374,0.48,8.66,1.32,13.12,Paddy
14.85,79.06,7.9,1.66,7.41,69,1509,405,0.61,15.7,1.25,12.23,Paddy
14.87,79.06,8.4,0.86,39.1,93,1783,445,0.79,24.5,1.58,8.04,Cotton
14.87,79.06,8.17,1.61,20.99,123,1948,422,2.58,23.58,1.59,19.17,Cotton
14.87,79.06,8.32,0.55,20.8,67,1624,379,0.75,40.94,1.69,7.45,Cotton
14.86,79.05,9.89,1.57,11.51,79,1239,81,0.3,12.29,1.44,12.97,Paddy
14.87,79.05,8.62,0.18,5.1,63,1470,235,0.23,5.38,0.68,7.57,Cotton
14.88,79.05,8.41,0.62,19.88,210,2150,291,1.24,29.82,2.14,11.58,Paddy
14.88,79.05,8.35,0.24,19.41,126,1977,410,1.0,9.98,1.41,21.73,Paddy
14.88,79.05,8.31,0.33,22.69,139,2245,444,0.79,9.47,1.64,19.82,Paddy
14.88,79.05,8.16,0.17,4.5,162,2060,502,0.29,14.92,1.77,10.8,Paddy
14.89,79.06,8.4,0.34,6.43,139,2124,514,0.35,12.62,1.47,10.07,Paddy
14.88,79.05,7.84,0.35,14.67,137,2260,351,0.65,19.11,2.31,28.44,Paddy
14.89,79.06,8.41,0.41,11.05,116,3063,442,0.56,10.96,1.42,10.14,Paddy
14.89,79.06,8.27,0.6,8.12,88,2827,331,0.41,8.41,1.18,11.97,Paddy
14.88,79.05,8.8,0.64,12.53,106,2543,466,0.41,19.06,2.19,14.88,Paddy
14.89,79.06,8.48,0.49,2.27,77,1843,166,0.2,3.24,0.41,8.39,Paddy
13.94,78.82,8.18,0.07,5.44,72,804,290,0.31,3.18,0.7,7.05,Groundnut
13.94,78.82,7.89,0.08,20.76,114,598,204,0.86,3.77,0.41,5.28,Groundnut
13.94,78.82,7.16,0.08,10.73,181,574,209,1.85,5.42,0.71,5.18,Groundnut
13.94,78.82,5.15,0.13,17.27,185,286,97,1.11,28.29,1.25,15.15,Groundnut
13.94,78.84,8.16,0.1,11.97,134,1825,504,0.26,10.23,1.31,1.56,Groundnut
13.93,78.82,6.55,0.07,13.73,129,511,199,0.66,7.94,0.31,6.1,Groundnut
13.92,78.82,6.6,0.07,10.64,110,294,96,1.01,9.24,0.68,5.88,Groundnut
13.92,78.82,6.2,0.04,6.42,61,326,107,0.86,7.47,0.37,5.09,Groundnut
13.93,78.82,6.42,0.06,3.07,67,827,494,0.32,9.28,0.99,9.93,Groundnut
13.93,78.82,6.98,0.06,4.34,69,663,268,0.33,20.1,0.56,8.25,Groundnut
13.93,78.82,6.07,0.04,3.84,66,432,181,0.31,22.99,0.62,11.72,Groundnut
13.92,78.82,8.45,0.12,13.34,165,1164,444,0.57,2.67,0.92,3.72,Groundnut
13.94,78.84,8.35,0.15,29.19,68,1799,562,0.64,4.93,1.17,6.82,Groundnut
13.94,78.82,6.53,0.08,5.7,49,367,132,0.37,8.77,0.68,9.94,Groundnut
14.57,79.37,9.68,1.12,8.32,177,2517,308,0.61,8.51,1.38,21.28,Groundnut
14.57,79.37,6.5,0.04,5.04,27,310,122,0.28,10.6,0.79,7.8,Redgram
14.57,79.39,8.39,0.1,3.54,22,745,164,0.11,3.36,0.39,1.59,Groundnut
14.57,79.39,5.58,0.03,1.42,18,224,80,0.1,7.43,0.42,3.5,Groundnut
14.58,79.39,8.37,0.1,4.85,84,1518,176,0.18,3.23,0.44,3.92,Groundnut
14.58,79.39,8.35,0.1,7.74,49,1342,189,0.27,3.56,0.9,3.71,Groundnut
14.57,79.39,8.4,0.1,9.11,51,1669,264,0.17,3.77,0.54,2.72,Groundnut
14.58,79.38,7.25,0.05,8.06,41,717,226,0.22,5.71,0.5,4.55,Groundnut
14.58,79.39,8.25,0.05,7.76,18,232,109,0.34,3.75,0.35,3.29,Groundnut
14.59,79.39,6.32,0.09,8.39,104,392,160,0.63,11.04,0.57,10.46,Groundnut
14.58,79.38,7.95,0.06,4.45,52,572,110,0.17,2.9,0.43,3.77,Groundnut
14.57,79.37,6.05,0.05,6.79,32,181,75,0.34,7.21,0.33,6.19,Groundnut
14.57,79.37,5.58,0.03,4.85,29,312,93,0.24,15.07,0.59,8.03,Groundnut
14.6,79.38,7.29,0.09,18.32,227,783,208,0.62,3.92,0.44,4.84,Groundnut
14.58,79.37,7.86,0.06,13.21,97,1312,208,0.32,4.07,0.47,4.09,Redgram
14.58,79.39,5.6,0.03,19.73,29,248,47,0.33,14.59,0.38,4.15,Groundnut
14.59,79.37,7.6,0.06,13.56,72,707,262,0.48,4.29,0.44,6.13,Redgram
14.6,79.39,5.95,0.05,5.78,74,366,121,0.55,10.49,0.46,8.88,Groundnut
14.58,79.39,5.66,0.04,4.89,56,271,99,0.33,15.13,0.48,10.66,Redgram
14.58,79.37,6.75,0.1,11.81,175,687,210,0.4,5.86,0.58,7.59,Groundnut
14.59,79.38,7.75,0.09,9.38,80,1015,340,0.96,4.46,0.56,5.03,Groundnut
14.59,79.38,7.02,0.08,14.47,140,379,139,1.02,6.79,0.43,6.03,Groundnut
14.59,79.37,6.9,0.05,3.79,73,798,178,0.25,4.7,0.59,6.33,Groundnut
14.58,79.38,6.86,0.02,3.19,36,575,173,0.21,6.44,0.53,6.43,Groundnut
14.6,79.39,7.9,0.06,12.17,31,508,159,0.3,3.71,0.47,2.04,Groundnut
14.58,79.37,8.03,0.64,36.1,193,2793,319,0.96,24.08,1.91,16.36,Tomato
14.59,79.36,8.32,1.03,38.8,263,2580,394,1.01,27.8,2.4,18.48,Groundnut
14.57,79.37,8.0,0.83,49.74,426,2883,413,1.28,21.78,1.9,17.8,Tomato
14.59,79.36,8.15,0.71,22.07,228,2906,384,0.9,17.8,1.99,26.41,Groundnut
14.58,79.36,8.01,0.63,16.39,279,2554,479,0.71,16.36,1.46,20.98,Groundnut
14.59,79.37,8.12,0.43,15.69,192,2468,299,0.77,6.46,0.97,15.56,Groundnut
