Latitude,Longitude,Soil_type,Crop_type,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Avail_Cu,Avail_Mn
16.46,80.13,Black soil,Chilli,8.35,0.6,0.49,27.7,241,5862,850,26.4,0.86,1.35,4.61,1.37,8.53
16.5,80.12,Black soil,Cotton,8.42,0.2,0.35,7.1,232,6423,646,11.2,0.29,0.91,1.74,0.96,2.29
16.49,80.12,Black soil,Cotton,8.38,0.2,0.33,3.8,216,7396,909,10.29,0.33,1.16,3.18,1.01,3.9
16.46,80.12,Black soil,Chilli,8.38,0.62,0.42,13.9,216,6393,1029,39.4,0.32,1.64,6.05,1.38,6.61
16.48,80.12,Black soil,Chilli,8.27,0.21,0.46,11.1,210,6333,483,14.01,0.43,1.0,3.12,1.34,8.56
16.48,80.13,Black soil,Cotton,8.86,0.29,0.3,3.8,191,5736,473,6.7,0.32,1.0,4.04,0.89,3.94
16.48,80.12,Black soil,Chilli,8.32,0.21,0.45,7.0,128,5179,366,12.32,0.47,0.95,2.81,1.5,4.64
16.46,80.14,Black soil,Cotton,8.11,0.65,0.58,22.0,248,5780,537,28.97,0.76,1.28,2.45,1.87,14.48
16.49,80.13,Black soil,Chilli,8.22,0.23,0.6,7.6,272,5984,386,12.74,0.7,0.79,3.75,1.82,4.96
16.49,80.12,Black soil,Chilli,8.32,0.19,0.25,2.3,105,6414,332,17.69,0.3,0.74,3.83,1.28,5.04
16.48,80.13,Black soil,Chilli,8.3,0.3,0.26,20.4,324,2613,213,17.73,0.62,0.85,2.76,1.17,7.59
16.48,80.15,Black soil,Chilli,8.32,0.66,0.48,21.8,246,4398,548,47.74,0.74,1.3,3.79,1.72,6.68
16.48,80.13,Black soil,Chilli,8.62,0.42,0.3,4.7,240,6741,896,22.03,0.51,1.45,6.16,1.16,4.3
16.48,80.12,Black soil,Cotton,8.28,0.29,0.49,17.0,232,4483,397,22.17,0.94,0.96,3.98,1.93,5.91
16.48,80.12,Black soil,Chilli,8.32,0.31,0.52,16.2,232,4539,403,21.21,0.9,0.92,3.93,1.88,5.36
14.83,78.97,Black,Cotton,9.13,1.21,0.27,5.47,242,2748,660,82.19,0.44,4.21,11.56,1.95,13.28
14.82,78.97,Black,Cotton,8.86,0.38,0.46,12.12,353,3048,908,15.89,0.45,2.57,11.58,1.49,13.4
14.84,78.97,Black,Cotton,8.75,0.39,0.72,21.41,194,3596,651,19.2,0.58,1.88,27.66,2.47,8.27
14.84,78.97,Black,Cotton,9.18,1.08,0.25,6.06,238,2823,678,86.49,0.38,4.56,10.54,1.75,12.32
14.82,78.97,Black,Cotton,8.91,0.4,0.46,11.24,340,3052,906,14.79,0.48,2.36,12.82,1.49,13.09
14.84,78.97,Black,Sunflower,8.32,0.67,0.81,24.37,342,3088,573,56.31,1.12,2.14,26.98,3.21,10.99
14.84,78.97,Black,Sunflower,8.82,0.4,0.34,6.34,287,3267,818,21.2,0.46,1.82,11.44,2.09,13.16
14.86,78.96,Black,Cotton,8.95,0.45,0.4,8.24,319,3290,952,15.71,0.48,2.48,12.18,1.51,12.12
14.85,78.96,Black,Cotton,8.5,0.71,0.76,34.53,244,3375,686,103.08,1.11,2.15,42.66,3.38,11.98
14.85,78.96,Black,Cotton,8.73,0.57,0.57,19.9,291,3398,812,55.59,0.94,2.15,26.58,2.6,12.64
14.84,78.97,Black,Cotton,8.95,0.47,0.4,8.12,312,3321,960,14.63,0.39,2.31,12.87,1.38,11.42
14.85,78.96,Black,Sunflower,8.2,0.54,0.93,35.36,302,3592,548,52.03,1.18,1.82,34.21,3.34,8.44
14.85,78.97,Black,Cotton,8.71,0.56,0.63,11.28,159,3121,532,42.05,0.99,1.88,17.34,1.98,12.2
14.83,78.97,Black,Cotton,8.75,0.47,0.64,16.71,174,3297,591,28.2,0.78,1.81,22.0,2.19,10.2
14.83,78.97,Black,Cotton,8.53,0.69,0.73,36.64,253,3381,710,90.32,1.29,2.02,45.9,3.45,11.66
14.83,78.94,Black,Cotton,8.07,0.22,0.6,31.32,252,2817,535,14.54,0.54,1.45,34.0,3.07,14.26
14.84,78.95,Black,Cotton,8.28,0.72,0.79,21.47,324,3001,556,77.3,1.07,2.08,34.96,3.19,12.45
14.82,78.97,Black,Sunflower,8.33,0.36,0.57,22.52,242,3434,572,21.53,0.67,1.44,27.47,2.53,11.87
14.84,78.96,Black,Cotton,8.18,0.27,0.4,6.84,277,3289,960,10.93,0.45,1.41,9.36,1.38,15.71
14.84,78.97,Black,Cotton,8.34,0.23,0.31,2.37,320,4813,1282,11.99,0.34,1.4,9.06,1.29,10.28
14.84,78.97,Black,Cotton,8.93,0.58,0.3,6.4,176,2656,607,53.05,0.47,2.1,11.09,1.55,14.7
14.84,78.97,Black,Cotton,8.65,0.91,0.68,33.02,145,2496,349,100.28,1.08,2.59,70.83,1.96,13.7
14.84,78.97,Black,Cotton,8.8,0.63,0.59,15.65,910,3208,1129,29.79,0.51,3.41,4.61,1.16,10.18
14.83,78.97,Black,Cotton,8.55,1.17,0.81,17.42,274,3213,1109,127.12,0.71,2.86,39.99,3.09,27.41
14.83,78.97,Black,Sunflower,8.95,0.45,0.29,5.16,203,3100,736,24.38,0.68,2.15,12.96,1.91,15.03
14.83,78.97,Black,Cotton,6.76,0.09,0.21,2.94,80,741,186,3.16,0.29,0.2,12.21,0.76,9.53
14.83,78.95,Black,Cotton,6.1,0.03,0.16,4.1,36,443,169,2.05,0.32,0.17,15.18,1.21,12.13
14.83,78.97,Black,Cotton,6.5,0.14,0.19,21.34,63,571,252,5.54,0.43,0.21,13.71,0.65,9.36
14.84,78.97,Black,Sunflower,5.11,0.05,0.12,2.99,27,372,109,4.47,0.17,0.37,9.55,0.41,13.52
14.84,78.97,Black,Sunflower,7.9,0.17,0.62,9.84,118,2037,348,6.15,0.32,0.58,5.8,0.88,5.48
14.84,78.97,Black,Cotton,7.17,0.05,0.17,5.37,30,393,120,1.54,0.29,0.23,8.08,0.43,5.75
14.83,78.98,Black,Cotton,8.2,0.22,1.11,39.82,147,2317,499,9.24,4.29,1.59,6.12,1.15,1.92
14.83,78.94,Black,Cotton,8.03,0.12,0.13,11.93,51,830,211,4.25,0.25,0.21,9.32,0.74,6.89
14.83,78.94,Black,Cotton,8.4,0.1,0.21,14.72,94,1177,173,1.62,0.29,0.32,3.38,0.45,3.13
14.83,78.94,Black,Cotton,8.21,0.2,0.82,29.21,238,2283,503,7.29,0.87,0.88,9.18,1.37,11.68
14.83,78.94,Black,Cotton,6.9,0.11,0.31,8.87,86,518,181,3.42,0.56,0.35,12.28,1.01,10.86
14.83,78.97,Black,Cotton,8.3,0.28,0.77,42.05,251,2186,553,9.92,0.59,0.87,4.86,0.62,3.25
14.85,78.97,Black,Sunflower,9.05,25.2,0.37,9.03,99,1874,120,447.88,0.33,7.89,4.52,0.84,6.4
14.84,78.96,Black,Cotton,8.54,1.08,0.45,17.76,134,2700,366,61.97,0.59,1.76,14.68,1.6,17.54
14.85,78.97,Black,Cotton,9.78,1.05,0.5,28.81,112,2260,462,53.24,0.85,2.92,48.24,2.3,21.24
14.73,78.98,Red,Maize,8.6,0.37,0.68,22.94,231,3056,1259,19.84,0.51,2.0,20.71,1.81,9.9
14.75,79.01,Red,Paddy,8.32,0.21,0.6,8.04,346,3304,628,10.66,0.51,1.32,5.08,1.39,15.65
14.75,79.01,Red,Paddy,8.16,1.62,0.62,22.81,236,2874,1293,115.9,0.68,1.81,27.89,2.2,9.37
14.75,79.01,Red,Cotton,8.32,0.4,0.57,43.02,400,3416,809,20.76,0.55,1.86,16.34,1.59,17.36
14.75,79.01,Red,Paddy,8.55,0.32,0.65,17.44,232,3116,943,25.83,0.4,1.82,26.9,1.74,11.61
14.75,79.01,Red,Sunflower,8.31,2.66,0.39,7.35,96,2457,500,166.74,0.28,1.58,8.8,0.95,12.0
14.75,79.01,Red,Chilly,8.5,0.22,0.5,12.08,133,2458,566,10.33,0.66,1.2,13.11,1.69,41.46
14.75,79.01,Red,Cotton,8.0,0.21,0.84,12.44,344,1557,301,13.7,1.05,1.88,5.73,1.11,42.04
14.75,79.01,Red,Mirchi,8.51,0.62,0.51,13.8,151,2384,502,9.81,0.86,1.28,13.65,1.4,32.69
14.74,78.01,Red,Sunflower,8.02,0.5,1.05,9.92,345,3547,336,32.69,0.86,1.79,2.8,1.61,31.45
14.74,78.01,Red,Chilly,8.41,0.37,0.82,32.59,134,2797,587,29.57,0.54,1.56,19.2,1.62,14.44
14.74,78.01,Red,Cotton,8.32,0.28,0.79,47.58,226,2717,525,13.81,0.7,2.06,11.54,1.55,17.86
14.74,78.01,Red,Paddy,8.25,0.93,0.65,14.25,172,2870,832,50.91,0.43,1.59,11.03,1.47,18.82
14.73,79.01,Red,Cotton,8.3,0.22,0.62,14.04,146,2874,495,27.55,0.58,1.01,14.74,1.69,24.26
14.75,79.01,Red,Cotton,8.68,0.46,0.6,21.85,161,2703,527,42.47,0.58,1.61,21.54,1.72,14.83
14.75,79.01,Red,Cotton,8.69,0.19,0.91,19.29,451,2802,763,10.05,0.46,2.04,12.24,1.59,19.42
14.75,79.01,Red,Paddy,8.78,0.23,0.81,13.67,229,2523,875,9.34,0.52,2.57,24.56,2.09,14.84
14.75,79.01,Red,Cotton,9.2,0.58,0.63,28.51,187,2282,710,60.58,0.47,3.32,35.51,2.04,20.71
14.74,78.98,Red,Cotton,8.87,0.76,0.78,39.49,200,2402,726,53.57,0.49,3.08,24.29,1.82,15.78
14.75,79.01,Red,Paddy,9.44,0.7,0.59,27.52,224,2296,578,41.65,0.51,2.72,18.88,1.77,20.91
14.75,79.01,Red,Chilly,8.3,0.23,0.76,31.99,164,3025,850,10.21,0.63,1.87,20.86,1.79,15.99
14.75,79.01,Red,Cotton,8.38,0.31,0.82,22.53,144,3048,836,16.25,0.77,1.73,25.16,1.98,14.98
14.75,79.01,Red,Cotton,8.57,0.16,0.47,6.58,204,4449,564,10.8,0.32,1.29,8.94,1.58,13.95
14.75,79.01,Red,Cotton,8.61,0.24,0.65,34.62,333,2632,1091,13.47,0.61,2.06,14.57,1.5,7.28
14.75,79.01,Red,Cotton,8.11,1.21,0.7,23.17,268,3060,1153,50.56,0.81,1.59,9.95,1.56,14.87
14.84,78.98,Black,Paddy,8.7,0.56,0.5,18.4,138,1533,371,21.29,0.44,2.0,29.19,2.78,21.17
14.84,78.98,Black,Paddy,8.35,0.84,0.42,19.57,162,1892,800,29.17,0.78,3.23,25.87,2.38,15.99
14.84,78.98,Black,Paddy,8.15,0.18,0.39,16.88,239,1805,114,4.32,0.55,0.75,3.11,0.86,9.77
14.84,78.98,Black,Cotton,8.71,0.73,0.39,12.31,154,2360,575,41.37,0.7,2.31,30.59,2.39,26.5
14.84,78.98,Black,Cotton,8.45,0.81,0.55,19.15,175,2428,650,61.59,1.06,3.17,34.59,3.23,16.91
14.84,78.97,Black,Paddy,8.46,3.51,0.64,55.18,215,1978,484,290.41,1.19,3.79,33.0,2.44,24.02
14.84,78.97,Black,Cotton,9.02,1.36,0.6,54.2,1317,1672,146,56.68,2.12,2.87,3.34,1.92,27.71
14.84,78.97,Black,Cotton,8.5,0.52,0.65,13.28,247,2195,393,24.79,0.81,2.26,7.94,1.83,25.72
14.84,78.97,Black,Cotton,8.52,0.79,0.52,18.84,207,3413,950,54.45,1.07,3.32,29.38,3.74,17.18
14.84,78.97,Black,Cotton,8.65,0.62,0.4,8.66,166,1853,783,24.29,0.52,2.67,25.82,3.17,26.07
14.84,78.97,Black,Cotton,8.63,0.45,0.15,14.17,149,2085,194,17.56,0.7,0.83,4.31,1.35,16.82
14.84,78.97,Black,Cotton,8.42,0.61,0.5,13.82,199,2154,824,26.4,1.61,3.51,27.72,4.52,14.51
14.84,78.97,Black,Cotton,8.35,2.94,0.72,55.92,192,1441,394,278.59,1.61,4.3,53.36,3.47,19.92
14.84,78.97,Black,Cotton,8.45,0.92,0.57,41.5,196,1843,716,60.89,3.12,4.36,60.14,3.11,15.73
14.83,78.97,Black,Cotton,7.8,0.36,0.37,12.15,183,1571,302,13.21,0.6,0.86,8.16,1.94,33.89
14.83,78.97,Black,Cotton,8.65,0.92,0.54,17.14,146,2143,1014,48.49,0.59,4.93,21.87,2.12,16.43
14.83,78.97,Black,Cotton,8.68,0.41,0.27,4.65,188,2145,621,15.3,0.32,1.55,10.06,1.49,14.58
14.83,78.97,Black,Cotton,8.46,0.4,0.36,9.63,222,2369,656,17.17,1.43,2.13,23.62,2.28,24.21
14.83,78.97,Black,Paddy,8.1,0.75,0.39,6.26,246,2476,446,27.02,0.63,1.57,4.89,1.65,19.14
14.84,78.97,Black,Cotton,8.06,0.7,0.63,6.42,260,1836,521,28.59,0.89,2.64,11.05,2.6,21.49
14.82,78.97,Red Sandy,Cotton,8.25,0.61,0.55,9.69,187,2361,597,30.33,0.8,2.19,4.39,1.53,17.8
14.83,78.97,Black,Cotton,8.3,0.43,0.35,9.59,235,2050,602,17.54,0.63,1.6,23.36,2.46,28.36
14.83,78.97,Black,Cotton,8.5,0.98,0.36,10.66,177,2039,831,52.25,0.45,4.02,14.73,1.89,16.44
14.83,78.97,Black,Cotton,8.55,0.35,0.18,17.15,141,2238,148,14.88,0.59,0.45,1.98,1.13,11.68
14.83,78.97,Black,Paddy,7.81,0.37,0.31,9.17,155,1407,382,18.91,0.5,1.14,7.54,1.55,28.26
14.83,78.97,Black,Paddy,8.55,0.26,0.18,1.66,134,1780,407,4.9,0.22,1.13,6.77,0.96,13.48
14.83,78.97,Black,Cotton,8.85,0.77,0.42,14.73,307,1882,368,34.27,0.53,2.65,17.32,2.0,21.57
14.84,78.98,Black,Cotton,8.3,0.45,0.23,5.29,128,1868,638,26.87,0.4,2.39,13.79,1.99,17.69
14.84,78.97,Red Sandy,Cotton,8.55,0.48,0.48,13.46,153,2186,617,16.55,0.87,2.19,6.47,1.48,30.54
14.84,78.98,Black,Paddy,8.1,3.18,0.6,36.6,267,2134,1010,262.68,0.83,5.89,47.91,4.11,26.76
14.82,78.99,Black,Cotton,8.88,0.82,0.59,12.13,240,3757,984,86.37,0.77,3.47,26.9,2.52,21.61
14.82,78.99,Black,Cotton,9.68,1.12,0.42,8.32,177,2517,308,43.7,0.61,3.29,8.51,1.38,21.28
14.82,78.99,Black,Paddy,9.71,1.22,0.28,7.41,178,2164,212,66.51,0.56,3.23,13.27,1.57,23.06
14.82,78.99,Black,Paddy,9.67,1.0,0.29,4.68,157,2240,284,22.08,0.54,2.33,10.01,1.49,22.86
14.82,78.99,Black,Cotton,8.45,1.44,0.44,11.42,210,2934,1114,118.6,0.63,3.44,15.98,2.25,12.02
14.81,78.99,Black,Paddy,8.91,0.41,0.46,8.52,341,3112,928,16.25,0.68,2.74,12.64,1.54,13.84
14.81,78.98,Black,Cotton,8.55,0.65,0.7,34.06,246,3293,711,117.43,1.34,2.09,46.31,3.53,13.08
14.81,78.98,Black,Paddy,8.5,0.79,0.73,30.9,236,3465,722,15.23,1.17,2.51,35.89,3.21,13.49
14.82,78.99,Black,Paddy,8.97,0.39,0.42,11.52,326,3147,932,115.53,0.6,2.33,5.65,1.27,5.83
14.82,78.98,Black,Cotton,8.45,0.78,0.7,38.2,235,3258,652,101.1,2.47,2.36,42.62,4.52,12.53
14.82,78.98,Black,Cotton,8.52,0.68,0.69,39.3,250,3325,711,102.26,1.43,2.36,47.75,3.63,12.11
14.82,78.98,Black,Paddy,8.92,0.46,0.41,10.56,322,3081,895,16.06,0.45,2.59,11.95,1.48,13.01
14.82,78.98,Black,Cotton,8.51,0.7,0.79,36.93,237,3251,648,106.06,1.2,2.19,44.32,3.42,13.62
14.82,78.98,Black,Paddy,8.56,0.8,0.5,7.75,152,3164,563,56.5,0.5,2.1,15.02,1.79,19.57
14.82,78.98,Black,Cotton,8.44,2.15,0.67,15.42,198,2561,782,315.37,0.48,2.7,12.72,1.75,13.42
14.82,78.98,Black,Paddy,8.45,1.41,0.55,5.45,185,2741,652,143.76,0.44,2.3,12.42,1.51,21.13
14.82,78.98,Black,Cotton,8.58,0.97,0.56,4.86,179,2651,621,112.27,0.56,2.35,11.86,1.46,20.22
14.82,78.98,Black,Paddy,8.9,0.72,0.5,3.1,175,3044,809,85.9,0.4,2.99,9.63,1.68,10.96
14.72,79.0,Black,Cotton,9.05,0.51,0.56,26.77,196,2408,484,35.19,0.53,2.32,20.54,1.74,19.72
14.72,79.01,Black,Sunflower,9.04,1.02,0.02,1.66,128,1845,155,21.86,0.28,1.89,2.79,0.52,4.13
14.72,79.0,Black,Cotton,9.32,0.56,0.11,1.25,122,2026,168,11.11,0.48,1.25,3.16,0.74,7.39
14.73,79.01,Black,Paddy,8.8,0.31,0.25,7.18,162,2522,328,21.16,0.33,1.24,10.25,1.42,14.08
14.73,79.01,Black,Paddy,8.02,27.5,0.29,1.0,97,4400,453,664.03,0.2,2.46,0.98,0.61,2.52
14.73,79.01,Black,Paddy,8.93,0.29,0.29,0.91,125,2863,258,4.91,0.51,1.05,4.43,1.32,13.85
14.72,79.0,Black,Paddy,9.28,0.19,0.2,0.72,122,2938,802,2.85,0.25,0.6,3.2,0.71,6.22
14.73,79.01,Black,Cotton,7.07,0.05,0.28,0.67,141,4367,556,4.38,0.28,0.58,7.07,1.04,24.48
14.73,79.01,Black,Sunflower,8.55,0.17,0.34,0.9,128,2366,299,20.67,0.28,1.01,10.37,1.35,10.18
14.73,79.01,Black,Sunflower,8.65,0.28,0.69,17.35,478,3176,314,12.51,1.25,1.28,18.12,2.11,11.33
14.73,79.01,Black,Sunflower,8.88,0.53,0.53,24.92,178,2621,571,34.4,0.6,2.36,21.79,1.73,16.56
14.73,79.01,Black,Cotton,7.43,0.08,0.23,1.42,125,2006,272,4.05,0.29,0.45,4.72,1.2,19.66
14.74,79.01,Black,Cotton,9.08,1.45,0.26,1.58,189,2888,418,63.94,0.35,3.06,4.59,1.08,11.93
14.73,79.01,Black,Cotton,8.98,0.19,0.14,0.67,90,2027,149,5.07,0.2,0.46,1.21,0.52,5.94
14.73,79.01,Black,Sunflower,8.77,0.54,0.28,7.24,173,2430,265,11.67,0.49,1.58,5.74,1.36,12.64
14.72,79.01,Black,Cotton,8.15,0.23,0.29,4.36,170,2782,136,8.99,0.5,0.62,0.73,0.56,8.82
14.73,79.01,Black,Cotton,9.22,1.01,0.05,0.9,119,1823,161,51.97,0.49,1.43,4.07,0.88,7.41
14.74,79.01,Black,Cotton,8.88,0.16,0.12,0.79,98,2237,161,2.35,0.23,0.58,1.48,0.56,5.33
14.72,79.0,Black,Sunflower,8.35,0.51,0.25,5.14,124,2334,221,33.75,0.52,0.99,5.63,1.6,12.05
14.72,79.0,Black,Cotton,8.7,0.29,0.11,1.86,130,1757,181,5.21,0.28,0.72,3.52,0.75,5.44
14.92,79.06,Red,Paddy,8.0,0.97,0.48,5.17,75,2034,541,33.21,0.69,2.05,33.74,1.73,9.45
14.93,79.06,Red,Bajra,7.92,1.12,1.5,7.21,154,2020,387,18.17,6.05,1.19,4.29,1.1,13.39
14.9,79.04,Red,Cotton,7.85,2.48,0.22,5.75,109,2182,571,79.38,0.47,2.43,17.32,1.95,17.68
14.9,79.04,Red,Cotton,8.46,0.77,0.62,20.08,100,2054,462,29.9,0.67,2.95,36.01,1.84,12.7
14.91,79.04,Red,Paddy,7.96,0.92,0.55,27.13,112,1880,424,33.47,0.86,1.69,27.24,2.17,16.18
14.91,79.05,Sandy,Cotton,8.65,0.9,0.71,35.09,248,1770,507,35.29,0.84,4.58,34.11,2.42,16.74
14.92,79.05,Red,Bajra,7.54,5.3,0.45,20.55,127,2483,694,202.07,0.87,2.01,17.8,2.33,17.76
14.93,79.06,Red,Bajra,8.1,0.35,0.27,7.7,75,947,279,11.46,0.28,0.93,8.47,0.92,13.14
14.92,79.06,Red,Paddy,8.11,0.65,0.51,6.22,118,1872,508,11.76,0.53,1.57,5.3,1.16,17.45
14.9,79.04,Sandy,Bajra,8.02,0.66,0.65,12.68,115,1566,304,24.53,1.42,1.87,15.71,1.85,5.16
14.92,79.04,Sandy,Cotton,8.0,1.04,0.77,17.02,144,1849,428,62.95,0.66,3.19,23.89,2.06,11.82
14.9,79.05,Red,Sunflower,7.83,1.78,1.03,20.72,154,1858,448,248.27,0.79,3.62,29.81,2.95,19.46
14.93,79.05,Sandy,Bajra,8.05,0.63,0.55,7.16,120,1920,346,29.86,0.43,1.8,14.69,1.84,9.89
14.92,79.05,Red,Bajra,7.79,0.69,0.86,31.72,218,1928,429,25.12,1.53,1.94,24.58,2.88,38.84
14.91,79.04,Red,Jowar,8.13,0.26,0.69,19.96,120,2501,292,15.13,0.67,1.15,27.03,2.54,12.85
14.93,79.06,Red,Jowar,7.82,2.95,0.2,4.81,103,1836,680,20.56,1.52,1.35,5.77,1.09,6.95
14.93,79.06,Red,Paddy,7.92,1.02,0.47,11.31,80,2408,334,13.71,0.29,1.81,11.78,1.32,8.99
14.91,79.04,Red,Maize,8.15,1.06,0.29,3.85,84,2258,486,7.64,0.34,1.05,3.37,1.42,12.99
14.93,79.05,Red,Jowar,8.43,0.41,0.63,19.39,115,2153,402,23.28,0.49,1.61,21.64,2.11,9.64
14.92,79.06,Red,Bajra,8.06,0.82,0.47,6.21,84,2225,301,21.47,0.53,2.35,25.62,1.68,9.04
14.97,79.03,Red,Paddy,8.14,0.45,0.78,21.14,143,1605,428,13.66,1.01,1.99,6.27,1.41,20.3
14.96,79.03,Red,Jowar,8.25,0.55,0.69,10.47,311,1958,414,12.5,1.21,1.92,5.37,1.67,16.8
14.96,79.02,Red,Paddy,8.4,0.75,0.25,3.19,92,2415,464,9.6,1.0,1.11,12.28,1.41,8.62
14.96,79.03,Red,Maize,7.98,0.95,0.94,20.46,221,2231,517,33.38,3.28,1.81,6.7,2.69,21.91
14.98,79.03,Red,Paddy,8.31,0.39,0.43,7.93,137,1826,591,23.21,0.48,2.19,9.64,1.87,18.17
14.96,79.03,Red,Paddy,8.33,0.34,0.32,6.91,121,1602,435,16.5,0.41,1.55,7.76,1.41,14.48
14.96,79.03,Red,Paddy,8.04,0.73,0.92,24.22,241,2547,584,30.38,2.4,1.92,7.43,1.64,22.28
14.97,79.04,Red,Paddy,7.8,0.09,0.27,5.66,91,1140,311,2.33,3.26,0.82,4.76,0.93,15.8
14.97,79.04,Red,Turmaric,8.5,0.26,0.17,3.11,87,1750,314,5.14,1.88,1.43,6.63,0.96,9.94
14.97,79.04,Red,Maize,8.16,0.16,0.4,5.12,51,756,229,4.26,0.24,0.83,7.1,0.95,19.0
14.97,79.04,Red,Paddy,8.6,0.25,0.34,10.95,68,1552,390,8.19,3.32,1.73,9.38,1.17,13.45
14.97,79.04,Red,Maize,8.5,0.27,0.4,7.48,69,1445,361,8.82,0.36,1.27,7.08,1.07,19.92
14.96,79.03,Red,Maize,8.23,0.36,0.13,6.08,105,1356,258,8.11,0.37,0.5,5.49,0.93,10.22
14.96,79.03,Red,Paddy,8.11,1.56,0.98,19.93,616,1884,556,68.37,1.25,3.55,7.99,2.16,54.47
14.97,79.03,Red,Sunflower,7.97,1.35,0.22,10.06,158,1743,337,34.39,0.28,1.23,8.11,1.31,11.06
14.96,79.04,Red,Paddy,7.94,1.54,0.86,29.43,181,2006,644,67.87,1.34,3.15,7.55,2.27,28.43
14.96,79.02,Red,Sunflower,8.0,1.54,0.84,27.74,161,1948,614,44.49,1.2,3.02,7.42,2.04,25.59
14.96,79.03,Red,Paddy,8.2,1.78,0.57,21.78,198,1892,582,80.13,1.13,2.34,37.56,2.71,21.15
14.96,79.04,Red,Sunflower,8.14,1.68,0.91,18.94,635,1868,561,68.84,1.29,3.62,8.29,2.29,54.67
14.96,79.03,Red,Paddy,8.14,1.46,0.91,20.45,509,1763,510,70.82,1.26,4.08,8.09,2.22,52.82
14.96,79.04,Red,Jowar,8.23,1.89,0.55,18.57,286,2363,754,87.1,1.17,2.28,33.77,2.8,21.38
14.96,79.03,Red,Bajra,8.26,1.54,0.59,20.48,304,2309,710,82.42,1.09,2.43,38.94,2.7,21.83
14.96,79.03,Red,Paddy,8.31,1.09,0.52,19.0,232,2262,646,54.93,1.0,2.0,38.44,2.61,17.89
14.96,79.03,Red,Sunflower,8.27,1.41,0.56,23.11,255,2284,678,86.88,1.24,2.31,35.6,2.67,21.28
14.96,79.03,Red,Paddy,8.12,1.38,0.7,22.34,234,2367,681,66.58,1.19,2.67,21.41,2.34,25.28
14.98,79.03,Red,Paddy,7.98,1.55,0.8,30.82,173,2531,738,57.06,1.34,2.99,7.84,2.07,29.47
14.97,79.03,Red,Paddy,8.48,0.6,0.37,2.64,109,2788,792,33.45,0.49,1.47,12.18,2.23,12.95
14.97,79.03,Red,Jowar,8.13,1.01,0.52,4.47,106,2743,557,20.06,1.47,1.36,6.22,1.39,29.33
14.96,79.03,Red,Jowar,8.04,0.63,1.02,35.9,201,2577,563,23.4,2.78,2.24,6.84,1.78,17.21
14.97,79.03,Red,Paddy,8.42,0.38,0.66,12.15,163,2451,579,14.11,1.03,2.02,4.63,1.39,15.7
14.96,79.03,Red,Jowar,8.55,0.34,0.58,9.04,150,2457,570,11.47,1.05,1.74,4.11,1.3,10.29
14.96,79.03,Red,Paddy,8.66,0.47,0.23,1.76,79,2140,524,13.69,0.23,1.39,7.54,1.23,10.64
14.97,79.03,Red,Paddy,7.9,0.29,0.28,1.85,79,1186,443,8.21,0.37,0.67,9.38,1.55,19.35
14.96,79.03,Red,Paddy,8.3,0.42,0.66,12.73,135,2929,673,24.27,1.11,1.9,41.76,2.58,9.3
14.97,79.02,Red,Maize,6.35,1.75,0.46,15.89,103,1261,399,73.98,0.64,0.93,9.3,1.06,68.09
14.97,79.03,Red,Bajra,8.5,1.0,0.77,19.01,718,2331,774,38.85,1.16,1.66,7.88,1.91,37.82
14.97,79.03,Red,Bajra,8.41,0.48,0.74,9.2,136,2851,763,15.4,1.53,1.59,8.02,1.74,18.1
14.96,79.03,Red,Maize,7.9,2.15,0.89,40.5,305,2744,629,60.04,1.83,2.45,35.84,2.69,17.0
14.96,79.03,Red,Maize,8.16,1.41,0.78,22.59,159,2553,641,33.07,1.67,1.81,21.61,1.98,15.21
14.96,79.03,Red,Turmaric,8.14,1.25,0.53,11.71,167,2720,765,32.9,0.43,1.65,12.14,1.74,11.53
14.85,79.06,Red,Paddy,8.6,0.23,0.3,7.6,85,1742,288,5.47,0.38,1.15,5.38,0.98,7.28
14.83,79.06,Red,Paddy,8.31,0.24,0.17,5.0,70,937,217,10.55,0.24,0.79,2.74,0.62,7.69
14.84,79.05,Red,Paddy,8.35,0.36,0.53,4.6,177,1558,105,15.02,0.43,1.33,3.71,0.52,9.93
14.84,79.05,Red,Paddy,8.55,0.58,0.29,24.47,161,1563,118,11.26,0.6,1.93,35.0,1.17,5.09
14.84,79.05,Red,Paddy,8.25,1.33,0.4,23.14,113,1712,423,23.32,0.75,2.29,37.41,2.12,10.32
14.83,79.06,Red,Cotton,8.14,0.31,0.51,10.43,228,2691,342,12.85,0.82,1.2,4.35,1.74,22.74
14.85,79.06,Red,Cotton,8.4,0.22,0.3,14.53,103,1656,229,5.7,0.69,1.01,6.49,0.76,5.9
14.85,79.06,Red,Cotton,8.35,1.62,0.46,32.1,87,1530,500,44.03,1.04,3.04,32.87,2.18,4.78
14.84,79.05,Red,Paddy,8.1,0.25,0.41,5.95,120,797,138,8.45,0.55,1.06,3.6,0.74,13.28
14.84,79.08,Red,Cotton,8.3,0.22,0.36,14.06,103,1466,193,6.05,0.4,1.0,6.24,0.72,5.45
14.86,79.06,Red,Paddy,8.1,1.22,0.35,12.23,70,1497,310,22.65,0.36,2.12,23.05,0.98,5.46
